USERID,VALUE,TRGPROGID,TRGPROG,TRGPROG_NAME
User_116,0.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_116,0.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_116,0.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_40,3.20,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_40,3.20,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_40,3.20,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_42,4.40,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_42,4.40,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_42,4.40,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_42,4.40,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_42,4.40,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_42,4.40,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_149,6.60,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_149,6.60,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_149,6.60,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_28,7.30,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_28,7.30,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_28,7.30,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_28,7.30,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_28,7.30,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_28,7.30,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_10,7.80,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_10,7.80,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_10,7.80,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_21,8.30,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_21,8.30,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
